id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,parentId,sortOrder,urls,isPlay,media,uID
123500,f2a7aea9-13d0-4050-b3f4-7f214162cd56,umb://document/f2a7aea913d04050b3f47f214162cd56,8033ebda51084554958ea33be5566922,statsEntry,true,true,2026-05-25 22:35:00,2026-05-25 22:35:00,23692,282,,1,umb://document/ef3b55a362cd4276b82a22f8b19cd9ed,
122797,72c25d99-f25d-41ef-a085-db4dedd3a0f9,umb://document/72c25d99f25d41efa085db4dedd3a0f9,b737e210387e423e85f0485a06f9ec47,statsEntry,true,true,2026-04-30 13:44:34,2026-04-30 13:44:34,23692,281,,1,umb://document/a9abf8b4d42c446793bed629e6959714,
121165,326cb737-1f1a-469a-b1b0-41a0d90bc68f,umb://document/326cb7371f1a469ab1b041a0d90bc68f,d923fd27fc4e4f33ade8890a6d069b38,statsEntry,true,true,2026-04-15 10:37:09,2026-04-15 10:37:09,23692,280,,1,umb://document/a9abf8b4d42c446793bed629e6959714,
120594,13cb4953-e4f6-4ec5-afce-b904368d10fa,umb://document/13cb4953e4f64ec5afceb904368d10fa,9bdf535d01494a27b1200f6569486363,statsEntry,true,true,2026-04-03 09:33:00,2026-04-03 09:33:00,23692,279,,1,umb://document/a9abf8b4d42c446793bed629e6959714,
119289,8309195d-5fbf-4bd6-8b06-56ca72f2314b,umb://document/8309195d5fbf4bd68b0656ca72f2314b,7e2cf386f0914d26a75302fcfef79533,statsEntry,true,true,2026-02-24 22:33:08,2026-02-24 22:33:08,23692,278,,1,umb://document/a9abf8b4d42c446793bed629e6959714,
118676,47245519-4201-4273-ad97-ef305fd8cf8e,umb://document/4724551942014273ad97ef305fd8cf8e,50e7951f4daa4f788428a185f044ef23,statsEntry,true,true,2026-02-13 15:22:15,2026-02-13 15:22:15,23692,277,,1,umb://document/a9abf8b4d42c446793bed629e6959714,
115648,53ed2672-6280-4d46-a5e4-1379706dfa44,umb://document/53ed267262804d46a5e41379706dfa44,9895788122cd4bd3a3ecf137dd9db024,statsEntry,true,true,2025-11-19 10:30:50,2025-11-19 10:30:50,23692,276,,1,umb://document/a187bba7725e43dab176740c9747da79,
115647,b33d5bf9-3fd8-412d-8171-95885a128331,umb://document/b33d5bf93fd8412d817195885a128331,10bcbad059564f0cb15676726aefc356,statsEntry,true,true,2025-11-19 10:29:15,2025-11-19 10:29:15,23692,275,,1,umb://document/a9abf8b4d42c446793bed629e6959714,
114896,99b1aff5-60a4-441b-8d39-d377d3e1420f,umb://document/99b1aff560a4441b8d39d377d3e1420f,8699f5e1c7d748f5a5c50ff91de9cc3c,statsEntry,true,true,2025-10-31 10:18:53,2025-10-31 10:18:53,23692,274,,1,umb://document/a9abf8b4d42c446793bed629e6959714,
114895,085145a9-89ec-42af-acc7-74cccd90d215,umb://document/085145a989ec42afacc774cccd90d215,1f5a774d7f7d43ad95b9e4a5413d7d92,statsEntry,true,true,2025-10-31 10:18:28,2025-10-31 10:18:28,23692,273,,1,umb://document/fbf4ecfde7234deca1cee4107032aba3,
114761,ceaee6d0-5855-4ca9-b718-1c4197be9c25,umb://document/ceaee6d058554ca9b7181c4197be9c25,879981669218494e8988d58b05d28f2b,statsEntry,true,true,2025-10-28 10:21:18,2025-10-28 10:21:18,23692,272,,1,umb://document/a9abf8b4d42c446793bed629e6959714,
112680,8bab944b-f60c-490a-8c58-2f995141dad9,umb://document/8bab944bf60c490a8c582f995141dad9,c4b26d4940e5452ba71f1ac2b9cc8635,statsEntry,true,true,2025-09-17 11:01:16,2025-09-17 11:01:16,23692,271,,1,umb://document/aba435a6a53f4417aa295adb59729f00,
112114,5eaa5f5d-b47a-4a5b-8819-821d8ca4bb63,umb://document/5eaa5f5db47a4a5b8819821d8ca4bb63,77b92f0f0fe84b90a5ba7d6fb6e4d406,statsEntry,true,true,2025-08-29 13:55:24,2025-08-29 13:55:24,23692,270,,1,umb://document/a9abf8b4d42c446793bed629e6959714,
