id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,parentId,sortOrder,urls,isPlay,media,uID
124092,4aeec421-13ec-41d2-9ff1-71380da3e505,umb://document/4aeec42113ec41d29ff171380da3e505,50dc8ef1913a47cca8bd124ffb4fc9eb,statsEntry,true,true,2026-06-02 01:37:12,2026-06-02 01:37:12,31201,7075,,1,umb://document/8f5e1c2347d94a3b807dd79ce4666d7a,
124089,aa8619d6-6547-4cf8-8283-644c6f079ba0,umb://document/aa8619d665474cf88283644c6f079ba0,184df01fe20e47fab7ce9fe44ea137e1,statsEntry,true,true,2026-06-02 00:20:50,2026-06-02 00:20:50,31201,7074,,1,umb://document/3d4a029b79d149e3af81df251f0ebc55,
124085,dd0b05dc-5165-4087-80f2-42afccd002c8,umb://document/dd0b05dc5165408780f242afccd002c8,8e3d96821d5a4a05b8dadb6048d88e30,statsEntry,true,true,2026-06-01 23:10:51,2026-06-01 23:10:51,31201,7073,,1,umb://document/8f5e1c2347d94a3b807dd79ce4666d7a,
124084,85a1d818-d3a0-44df-b0ac-f5c7b9bd4732,umb://document/85a1d818d3a044dfb0acf5c7b9bd4732,fad6a197118840de80b4baaa4598d896,statsEntry,true,true,2026-06-01 23:01:42,2026-06-01 23:01:42,31201,7072,,1,umb://document/8f5e1c2347d94a3b807dd79ce4666d7a,
124081,8b35dc9a-0a00-4f1c-9df2-5a4e066263b6,umb://document/8b35dc9a0a004f1c9df25a4e066263b6,9ad7cbdac92f4613a4deb5b9b9264ebb,statsEntry,true,true,2026-06-01 22:46:46,2026-06-01 22:46:46,31201,7071,,1,umb://document/3d4a029b79d149e3af81df251f0ebc55,
124080,e4289a56-93dc-4be4-b501-83b3ff59318d,umb://document/e4289a5693dc4be4b50183b3ff59318d,c943d0457ea44440bfd96524632d17a1,statsEntry,true,true,2026-06-01 21:30:53,2026-06-01 21:30:53,31201,7070,,0,umb://document/3d4a029b79d149e3af81df251f0ebc55,
124079,7db4c910-2014-4e04-8a9f-4acc6cc45aee,umb://document/7db4c91020144e048a9f4acc6cc45aee,1047353c4e5d48e5940df9b570beab62,statsEntry,true,true,2026-06-01 21:22:08,2026-06-01 21:22:08,31201,7069,,0,umb://document/3d4a029b79d149e3af81df251f0ebc55,
124076,a35549cd-98f3-4310-9fda-74edaad95b5d,umb://document/a35549cd98f343109fda74edaad95b5d,4817cf67a6ad4f1e9a1cd2d983a57fbe,statsEntry,true,true,2026-06-01 19:58:20,2026-06-01 19:58:20,31201,7068,,1,umb://document/3d4a029b79d149e3af81df251f0ebc55,
124061,3403a638-ce23-4220-985c-927901f71637,umb://document/3403a638ce234220985c927901f71637,237ee73824f74ac48635d1318b04a4e4,statsEntry,true,true,2026-05-31 23:59:50,2026-05-31 23:59:50,31201,7067,,0,umb://document/3d4a029b79d149e3af81df251f0ebc55,
124060,9e7f3719-9bdd-495f-9b6a-b1f150ce4a23,umb://document/9e7f37199bdd495f9b6ab1f150ce4a23,a07b84fa2c2a4e55a3ebcf95a1901e00,statsEntry,true,true,2026-05-31 23:59:39,2026-05-31 23:59:39,31201,7066,,0,umb://document/3d4a029b79d149e3af81df251f0ebc55,
