id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,parentId,sortOrder,urls,orderID,title,access,badge,code,description,expandedDescription,hidden,hideDownload,hidePlay,length,metaDescription,metaTitle,openWebContentFromList,openWebContentInNewWindows,production,productionLink,productLink,purchasePrice,rawFile,rentalPrice,siteMapOption,tags,thumbnail,trailer,type,videoDownloadURL,videoID,videoSize,videoStatus,videoThumbnailURL,webContentURL,year
106987,db6554dc-d655-4486-8f26-0dfc196cb959,umb://document/db6554dcd65544868f260dfc196cb959,Modul 3 - Dag 1,media,true,true,2025-03-09 15:48:56,2025-03-16 10:24:50,104451,11,/funktionel-neuro-terapeut/modul-3/modul-3-dag-1/,0,Modul 3 - Dag 1,57,,,.,,0,0,0,0,,,0,0,,,,,/media/4909/modul-3-dag-1.pdf,,,,/media/4910/ydre-og-indre-oere.png,,75,,,,,,,0
104892,e6d75112-92f7-4aec-9c8c-cc6a09ab83e4,umb://document/e6d7511292f74aec9c8ccc6a09ab83e4,Modul 3 - Dag 2,media,true,true,2025-01-15 12:29:06,2025-03-16 10:24:55,104451,2,/funktionel-neuro-terapeut/modul-3/modul-3-dag-2/,1,Modul 3 - Dag 2,57,,,.,,0,0,0,0,,,0,0,,,,,/media/4856/modul-3-dag-2.pdf,,,,/media/4857/shutterstock_2033943170.png,,75,,,,,,,0
104454,4248be23-ce60-4970-89d5-d44e6f7483f6,umb://document/4248be23ce60497089d5d44e6f7483f6,Teorigennemgang af Vestibulær systemet,media,true,true,2025-01-07 13:24:21,2025-03-16 10:24:58,104451,0,/funktionel-neuro-terapeut/modul-3/teorigennemgang-af-vestibulaer-systemet/,2,Teorigennemgang af Vestibulær systemet,57,,,45 minutters introduktion til Vestibulærsystemets opbygning og funktion,,0,0,0,0,,,0,0,,,,,,,,,/media/4848/teori-vesti.png,,264,,,,,,https://vimeo.com/1044050121,0
106882,a41c203d-7776-4052-a12b-283f21311d56,umb://document/a41c203d77764052a12b283f21311d56,Teorigennemgang af Vestibulær systemet / Power Point,media,true,true,2025-03-08 13:26:47,2025-03-16 10:25:01,104451,10,/funktionel-neuro-terapeut/modul-3/teorigennemgang-af-vestibulaer-systemet-power-point/,3,Teorigennemgang af Vestibulær systemet / Power Point,57,,,.,,0,0,0,0,,,0,0,,,,,/media/4903/praesentation-fra-online-teorigennengang-af-vestibulaer-systemey.pdf,,,,/media/4904/ps.png,,75,,,,,,,0
107346,536a8ca0-dd47-4163-93e0-3ea7e78ebd05,umb://document/536a8ca0dd47416393e03ea7e78ebd05,Teorigennemgang - Semicirkulære Kanaler,media,true,true,2025-03-16 10:23:13,2025-03-16 10:28:53,104451,13,/funktionel-neuro-terapeut/modul-3/teorigennemgang-semicirkulaere-kanaler/,4,Teorigennemgang - Semicirkulære Kanaler,57,,,.,,0,0,0,0,,,0,0,,,,,,,,,/media/4922/jh-video.jpg,,264,,,,,,https://vimeo.com/1066282814,0
107345,ad80169f-74d5-4ad0-a7c3-b99dde70f199,umb://document/ad80169f74d54ad0a7c3b99dde70f199,Semicirkulære kanaler - Kompas Chart med kanalretninger,media,true,true,2025-03-16 10:18:10,2025-03-16 10:31:02,104451,12,/funktionel-neuro-terapeut/modul-3/semicirkulaere-kanaler-kompas-chart-med-kanalretninger/,5,Semicirkulære kanaler - Kompas Chart med kanalretninger,57,,,"OVERSIGTSCHART:
Hvilke angulære hovedbevægelser aktiverer hvilke semicirkulære kanaler? ",,0,0,0,0,,,0,0,,,,,/media/4921/kompas-chart-med-retninger-og-kanaler.pdf,,,,/media/4923/kompas-chart-med-retninger-og-kanaler.jpg,,75,,,,,,,0
105233,87c99d1f-6b3f-4b02-8dac-182c1a027450,umb://document/87c99d1f6b3f4b028dac182c1a027450,Test af Vestibulær systemet - Semicirkulære kanaler,media,true,true,2025-01-25 13:27:47,2025-03-16 10:25:10,104451,3,/funktionel-neuro-terapeut/modul-3/test-af-vestibulaer-systemet-semicirkulaere-kanaler/,6,Test af Vestibulær systemet - Semicirkulære kanaler,57,,,Test af semicirkulære kanaler isoleret via VORa,,0,0,0,0,,,0,0,,,,,,,,,/media/4860/test.png,,264,,,,,,https://vimeo.com/1050293060,0
105234,e7460df1-b2d3-4818-b8aa-a3354139e96e,umb://document/e7460df1b2d34818b8aaa3354139e96e,Test af Vestibulær systemet - Semicirkulære kanaler (1),media,true,true,2025-01-25 13:31:21,2025-03-16 10:25:13,104451,4,/funktionel-neuro-terapeut/modul-3/test-af-vestibulaer-systemet-semicirkulaere-kanaler-1/,7,Test af Vestibulær systemet - Semicirkulære kanaler,57,,,Test af Semicirkulære kanaler og den Vestibule-Spinale Refleks,,0,0,0,0,,,0,0,,,,,,,,,/media/4861/test.png,,264,,,,,,https://vimeo.com/1050295082,0
105235,81ddf023-825a-455f-bbce-873a30fa1679,umb://document/81ddf023825a455fbbce873a30fa1679,Test af Vestibulær systemet - Uriculus og Sacculus,media,true,true,2025-01-25 13:33:27,2025-03-16 10:25:19,104451,5,/funktionel-neuro-terapeut/modul-3/test-af-vestibulaer-systemet-uriculus-og-sacculus/,8,Test af Vestibulær systemet - Uriculus og Sacculus,57,,,Test af Utriculus og Sacculus via synsstabilisering,,0,0,0,0,,,0,0,,,,,,,,,/media/4862/test.png,,264,,,,,,https://vimeo.com/1050293998,0
105236,87c48ab1-fe4b-4166-abc2-a7a6f3bec504,umb://document/87c48ab1fe4b4166abc2a7a6f3bec504,Øvelser for vestibulær systemet - Semicirkulære kanaler,media,true,true,2025-01-25 13:36:21,2025-03-16 10:25:22,104451,6,/funktionel-neuro-terapeut/modul-3/øvelser-for-vestibulaer-systemet-semicirkulaere-kanaler/,9,Øvelser for vestibulær systemet - Semicirkulære kanaler,57,,,Isoleret træning af vestibulær systemets semicirkulære kanaler,,0,0,0,0,,,0,0,,,,,,,,,/media/4863/exercises.png,,264,,,,,,https://vimeo.com/1049430720,0
